epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4625.37,0.63817,0.57903,1.13007,0.92159,0.85879,0.92634,0.76185,0.77024,0.52857,1.32051,0.00102972,0.00102972,0.00102972
91,4676.68,0.6405,0.57989,1.1231,0.87796,0.86408,0.91687,0.75818,0.77702,0.56713,1.25806,0.00102725,0.00102725,0.00102725
92,4727.99,0.63451,0.56446,1.11152,0.90362,0.862,0.92846,0.77947,0.75135,0.5319,1.31463,0.00102478,0.00102478,0.00102478
93,4779.46,0.63783,0.57172,1.12927,0.91245,0.85255,0.92942,0.77318,0.75506,0.53486,1.25415,0.0010223,0.0010223,0.0010223
94,4830.77,0.63523,0.56954,1.12323,0.89392,0.88157,0.93635,0.76692,0.81674,0.57256,1.28698,0.00101983,0.00101983,0.00101983
95,4882.2,0.61411,0.55897,1.10515,0.92367,0.86332,0.92997,0.76142,0.83051,0.53577,1.37515,0.00101735,0.00101735,0.00101735
96,4933.56,0.62962,0.554,1.11736,0.90639,0.83426,0.91646,0.75361,0.77907,0.62089,1.27622,0.00101488,0.00101488,0.00101488
97,4984.83,0.62798,0.53636,1.11657,0.93709,0.84287,0.92711,0.77295,0.74463,0.49319,1.29147,0.0010124,0.0010124,0.0010124
98,5036.07,0.61911,0.53151,1.11216,0.88684,0.86985,0.91759,0.75513,0.79921,0.61433,1.2922,0.00100993,0.00100993,0.00100993
99,5087.32,0.62045,0.56525,1.11499,0.92974,0.88255,0.93559,0.78483,0.77643,0.52498,1.22594,0.00100745,0.00100745,0.00100745
100,5138.83,0.62601,0.53531,1.10666,0.91509,0.8718,0.93059,0.76426,0.78955,0.53362,1.27093,0.00100497,0.00100497,0.00100497
101,5190.06,0.60734,0.53074,1.10218,0.91434,0.88648,0.93209,0.76535,0.7674,0.50273,1.29535,0.0010025,0.0010025,0.0010025
102,5241.42,0.62464,0.53746,1.11477,0.91834,0.8485,0.92561,0.7725,0.80092,0.52124,1.31587,0.00100003,0.00100003,0.00100003
103,5292.72,0.61378,0.52646,1.1155,0.8697,0.88218,0.91735,0.75069,0.8474,0.5433,1.37248,0.00099755,0.00099755,0.00099755
104,5343.98,0.61225,0.52604,1.11856,0.93973,0.88947,0.93898,0.78013,0.73054,0.47277,1.25517,0.000995075,0.000995075,0.000995075
105,5395.29,0.6118,0.54612,1.1078,0.87819,0.856,0.91119,0.74658,0.7697,0.70456,1.30194,0.0009926,0.0009926,0.0009926
106,5446.6,0.59586,0.53982,1.09258,0.88555,0.8707,0.92126,0.76953,0.77428,0.55984,1.26954,0.000990125,0.000990125,0.000990125
107,5497.85,0.59922,0.51658,1.10682,0.91248,0.87506,0.93267,0.78427,0.77851,0.51347,1.35429,0.00098765,0.00098765,0.00098765
108,5549.07,0.59313,0.51092,1.0934,0.91807,0.85526,0.92389,0.77281,0.75312,0.53182,1.23678,0.000985175,0.000985175,0.000985175
109,5600.33,0.59603,0.53422,1.10348,0.93285,0.85723,0.93077,0.77699,0.76437,0.50883,1.24372,0.0009827,0.0009827,0.0009827
110,5651.56,0.59279,0.51709,1.10029,0.93332,0.83374,0.92541,0.77594,0.75194,0.52831,1.28189,0.000980225,0.000980225,0.000980225
111,5702.81,0.59287,0.50409,1.10227,0.91635,0.84234,0.91136,0.74127,0.79212,0.58433,1.32458,0.00097775,0.00097775,0.00097775
112,5754.04,0.60265,0.52145,1.10901,0.93492,0.87282,0.93143,0.77676,0.79328,0.50173,1.32258,0.000975275,0.000975275,0.000975275
113,5805.33,0.60568,0.53243,1.10074,0.91176,0.86045,0.92216,0.76574,0.79313,0.5323,1.30068,0.0009728,0.0009728,0.0009728
114,5856.65,0.59904,0.52713,1.09888,0.89944,0.85991,0.91755,0.76786,0.76301,0.52648,1.26347,0.000970325,0.000970325,0.000970325
115,5907.93,0.60265,0.53467,1.09138,0.88612,0.86241,0.92882,0.76768,0.76168,0.54278,1.29874,0.00096785,0.00096785,0.00096785
116,5959.13,0.59091,0.53291,1.10416,0.91857,0.8756,0.93255,0.77884,0.78283,0.52546,1.31525,0.000965375,0.000965375,0.000965375
117,6010.53,0.59036,0.51874,1.09798,0.86254,0.91007,0.93502,0.77844,0.75612,0.50831,1.26519,0.0009629,0.0009629,0.0009629
118,6061.75,0.60786,0.51899,1.10632,0.93852,0.84287,0.9346,0.77128,0.80469,0.50764,1.36207,0.000960425,0.000960425,0.000960425
119,6113.09,0.5756,0.49886,1.08286,0.92327,0.89248,0.93868,0.79273,0.76505,0.4757,1.28855,0.00095795,0.00095795,0.00095795
120,6164.5,0.57973,0.49796,1.08351,0.91051,0.87858,0.93137,0.77557,0.8231,0.52858,1.36011,0.000955475,0.000955475,0.000955475
121,6215.93,0.55621,0.47179,1.0674,0.93915,0.87457,0.93122,0.77359,0.77954,0.56114,1.28951,0.000953,0.000953,0.000953
122,6267.19,0.59295,0.50164,1.09579,0.91438,0.87008,0.93101,0.77395,0.76579,0.50108,1.25565,0.000950525,0.000950525,0.000950525
