epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
165,1653.46,1.52147,0.5743,0.8373,1.58208,0.001882,0.001882,0.001882
166,1662.55,1.50468,0.5743,0.8378,1.58875,0.0018325,0.0018325,0.0018325
167,1671.81,1.49105,0.5732,0.8375,1.57585,0.001783,0.001783,0.001783
168,1681.22,1.4801,0.574,0.8376,1.5769,0.0017335,0.0017335,0.0017335
169,1690.18,1.46941,0.5741,0.8374,1.56826,0.001684,0.001684,0.001684
170,1699.46,1.4645,0.5739,0.8376,1.55969,0.0016345,0.0016345,0.0016345
171,1708.89,1.44726,0.5744,0.8377,1.571,0.001585,0.001585,0.001585
172,1718.34,1.43735,0.5749,0.8386,1.57915,0.0015355,0.0015355,0.0015355
173,1727.82,1.42854,0.5749,0.8386,1.56804,0.001486,0.001486,0.001486
174,1737.31,1.4177,0.5758,0.8384,1.57578,0.0014365,0.0014365,0.0014365
175,1746.65,1.41492,0.5755,0.8385,1.55774,0.001387,0.001387,0.001387
176,1755.78,1.39294,0.576,0.8381,1.57651,0.0013375,0.0013375,0.0013375
177,1765.25,1.38925,0.576,0.8379,1.55176,0.001288,0.001288,0.001288
178,1774.71,1.36676,0.5767,0.8381,1.5698,0.0012385,0.0012385,0.0012385
179,1784.12,1.34276,0.576,0.8378,1.55343,0.001189,0.001189,0.001189
180,1793.57,1.34744,0.5766,0.8369,1.58328,0.0011395,0.0011395,0.0011395
181,1802.99,1.31901,0.5758,0.837,1.56641,0.00109,0.00109,0.00109
182,1812.07,1.31713,0.5763,0.8373,1.56392,0.0010405,0.0010405,0.0010405
183,1821.51,1.30615,0.577,0.8381,1.57961,0.000991,0.000991,0.000991
184,1830.9,1.29049,0.577,0.8382,1.55037,0.0009415,0.0009415,0.0009415
185,1840.17,1.28845,0.5767,0.8376,1.55745,0.000892,0.000892,0.000892
186,1849.66,1.2594,0.5765,0.8383,1.56465,0.0008425,0.0008425,0.0008425
187,1858.87,1.23856,0.5762,0.8383,1.5843,0.000793,0.000793,0.000793
188,1868.04,1.21681,0.5757,0.8384,1.56794,0.0007435,0.0007435,0.0007435
189,1877.28,1.21514,0.5753,0.8372,1.57498,0.000694,0.000694,0.000694
190,1886.54,1.20895,0.5752,0.8366,1.57026,0.0006445,0.0006445,0.0006445
191,1896.28,1.19459,0.576,0.836,1.57964,0.000595,0.000595,0.000595
192,1905.55,1.17222,0.5762,0.8357,1.59109,0.0005455,0.0005455,0.0005455
193,1914.75,1.14897,0.5766,0.8355,1.57937,0.000496,0.000496,0.000496
194,1923.88,1.14582,0.5756,0.8353,1.58259,0.0004465,0.0004465,0.0004465
195,1932.82,1.12727,0.5755,0.8359,1.56622,0.000397,0.000397,0.000397
196,1942.21,1.11286,0.5748,0.8352,1.59224,0.0003475,0.0003475,0.0003475
197,1951.3,1.09536,0.5749,0.8355,1.59387,0.000298,0.000298,0.000298
198,1960.37,1.08823,0.5744,0.8357,1.59419,0.0002485,0.0002485,0.0002485
199,1969.65,1.07444,0.5742,0.8351,1.59395,0.000199,0.000199,0.000199
200,1978.49,1.05524,0.5749,0.8344,1.58218,0.0001495,0.0001495,0.0001495
